player_name,goals,minutes_played_official,assists,distance_covered,top_speed
Serhou Guirassy,13,1084,4,92.62,32.55
Raphinha,12,1105,9,102.23,34.72
Harry Kane,11,1120,2,116.8,30.44
Robert Lewandowski,11,954,0,88.71,32.09
Vinícius Júnior,8,1104,3,99.62,35.53
Ousmane Dembélé,8,1052,3,94.2,33.69
Erling Haaland,8,771,0,86.38,36.57
Lautaro Martínez,8,696,0,46.27,31.21
Kylian Mbappé,7,1132,2,94.41,36.42
Vangelis Pavlidis,7,905,2,115.3,32.91
Julián Alvarez,7,790,1,96.55,34.29
Jonathan David,7,746,2,85.25,32.46
Florian Wirtz,6,765,1,97.61,33.57
Antoine Griezmann,6,732,3,89.62,30.89
Viktor Gyökeres,6,606,0,71.37,34.55
Santiago Giménez,6,449,1,54.06,32.78
Michael Olise,5,1033,1,111.81,32.8
Lamine Yamal,5,981,3,78.8,32.18
Rodrygo,5,880,2,86.49,33.94
Karim Adeyemi,5,692,1,59.09,35.33
Bukayo Saka,5,673,2,50.1,32.47
Ademola Lookman,5,483,2,50.7,34.29
Nuno Mendes,4,1283,2,109.66,35.74
Morgan Rogers,4,1025,3,107.17,33.61
Orkun Kökçü,4,995,0,120.69,32.52
Declan Rice,4,915,2,87.8,34.18
Kerem Aktürkoğlu,4,853,0,107.3,32.91
Jamie Gittens,4,848,0,91.15,34.86
Daizen Maeda,4,761,1,98.03,35.39
Marcus Thuram,4,743,1,51.55,34.51
Charles De Ketelaere,4,702,5,84.48,33.43
Christian Pulišić,4,632,1,87.25,33.53
Kai Havertz,4,560,1,73.5,32.25
Dušan Vlahović,4,550,1,64.08,34.1
Benjamin Šeško,4,522,0,62.63,33.84
Jude Bellingham,3,1136,2,110.27,33.9
Bradley Barcola,3,1002,3,104.62,35.27
Tijjani Reijnders,3,870,0,111.27,33.79
Jamal Musiala,3,866,4,108.07,34.06
Ryan Flamingo,3,858,0,92.35,32.14
Mohamed Salah,3,808,4,88.82,34.54
Rafael Leão,3,797,2,84.86,35.59
Nicolas Kühn,3,792,1,96.78,35.94
Anis Hadj Moussa,3,786,0,92.78,32.83
Antoni Milambo,3,765,1,100.91,33.47
John McGinn,3,739,2,71.74,32.16
Ismael Saibari,3,728,2,78.63,32.89
Martin Ødegaard,3,708,1,58.49,31.91
Phil Foden,3,689,1,89.71,33.25
Hakan Çalhanoğlu,3,686,2,46.2,33.63
Luis Díaz,3,633,0,82.1,33.21
Mario Pašalić,3,606,0,78.81,32.69
Désiré Doué,3,601,4,58.87,32.85
Mateo Retegui,3,575,0,67.3,33.33
Takumi Minamino,3,569,1,71.48,31.92
Weston McKennie,3,556,0,58.14,32.85
Malik Tillman,3,534,2,68.46,33.97
Abdallah Sima,3,509,0,63.84,34.81
Sandro Kulenović,3,494,0,58.64,32.64
Thomas Müller,3,370,1,36.7,31.73
Cody Gakpo,3,369,1,45.31,33.16
Adam Idah,3,338,1,41.72,34.25
Ivan Perišić,3,333,0,30.39,31.76
Ferran Torres,3,332,1,27.06,32.09
Ángel Correa,3,264,1,34.03,33.23
Marco Asensio,3,262,0,27.03,31.55
Jhon Durán,3,239,0,26.72,35.4
Gonçalo Ramos,3,198,1,26.42,30.79
Harvey Elliott,3,168,0,24.06,30.62
Nemanja Radonjić,3,157,0,17.57,34.72
Achraf Hakimi,2,1360,5,133.81,36.55
Vitinha,2,1268,1,134.89,32.1
Antonio Rüdiger,2,1188,0,105.78,34.13
Youri Tielemans,2,1046,3,110.56,31.09
Emre Can,2,940,1,90.32,33.52
Igor Paixão,2,921,4,116.14,34.11
